TIGR00001	158	Protein_synthesis	Ribosomal_proteins_synthesis_and_modification
TIGR00002	158	Protein_synthesis	Ribosomal_proteins_synthesis_and_modification
TIGR00003	145	Transport_and_binding_proteins	Cations_and_iron_carrying_compounds
TIGR00004	92	Cellular_processes	Other
TIGR00005	168	Protein_synthesis	tRNA_and_rRNA_base_modification
TIGR00006	168	Protein_synthesis	tRNA_and_rRNA_base_modification
TIGR00007	161	Amino_acid_biosynthesis	Histidine_family
TIGR00008	169	Protein_synthesis	Translation_factors
TIGR00009	158	Protein_synthesis	Ribosomal_proteins_synthesis_and_modification
TIGR00010	703	Unknown_function	Enzymes_of_unknown_specificity
TIGR00011	137	Protein_synthesis	tRNA_aminoacylation
TIGR00012	158	Protein_synthesis	Ribosomal_proteins_synthesis_and_modification
TIGR00013	184	Energy_metabolism	Other
TIGR00014	96	Cellular_processes	Detoxification
TIGR00016	114	Energy_metabolism	Fermentation
TIGR00017	124	Purines_pyrimidines_nucleosides_and_nucleotides	Nucleotide_and_nucleoside_interconversions
TIGR00018	83	Biosynthesis_of_cofactors_prosthetic_groups_and_carriers	Pantothenate_and_coenzyme_A
TIGR00019	169	Protein_synthesis	Translation_factors
TIGR00020	169	Protein_synthesis	Translation_factors
TIGR00021	117	Energy_metabolism	Pentose_phosphate_pathway
TIGR00022	157	Unknown_function	General
TIGR00023	176	Fatty_acid_and_phospholipid_metabolism	Biosynthesis
TIGR00024	703	Unknown_function	Enzymes_of_unknown_specificity
TIGR00026	703	Unknown_function	Enzymes_of_unknown_specificity
TIGR00027	703	Unknown_function	Enzymes_of_unknown_specificity
TIGR00029	158	Protein_synthesis	Ribosomal_proteins_synthesis_and_modification
TIGR00030	158	Protein_synthesis	Ribosomal_proteins_synthesis_and_modification
TIGR00031	90	Cell_envelope	Biosynthesis_and_degradation_of_surface_polysaccharides_and_lipopolysaccharides
TIGR00032	73	Amino_acid_biosynthesis	Glutamate_family
TIGR00033	70	Amino_acid_biosynthesis	Aromatic_amino_acid_family
TIGR00034	70	Amino_acid_biosynthesis	Aromatic_amino_acid_family
TIGR00035	109	Energy_metabolism	Amino_acids_and_amines
TIGR00036	71	Amino_acid_biosynthesis	Aspartate_family
TIGR00037	169	Protein_synthesis	Translation_factors
TIGR00038	169	Protein_synthesis	Translation_factors
TIGR00039	168	Protein_synthesis	tRNA_and_rRNA_base_modification
TIGR00040	703	Unknown_function	Enzymes_of_unknown_specificity
TIGR00041	124	Purines_pyrimidines_nucleosides_and_nucleotides	Nucleotide_and_nucleoside_interconversions
TIGR00042	132	DNA_metabolism	DNA_replication_recombination_and_repair
TIGR00043	136	Protein_synthesis	Other
TIGR00044	703	Unknown_function	Enzymes_of_unknown_specificity
TIGR00045	184	Energy_metabolism	Other
TIGR00046	168	Protein_synthesis	tRNA_and_rRNA_base_modification
TIGR00048	168	Protein_synthesis	tRNA_and_rRNA_base_modification
TIGR00049	76	Biosynthesis_of_cofactors_prosthetic_groups_and_carriers	Other
TIGR00050	168	Protein_synthesis	tRNA_and_rRNA_base_modification
TIGR00051	157	Unknown_function	General
TIGR00052	703	Unknown_function	Enzymes_of_unknown_specificity
TIGR00053	149	Cellular_processes	Adaptations_to_atypical_conditions
TIGR00054	138	Protein_fate	Degradation_of_proteins_peptides_and_glycopeptides
TIGR00055	90	Cell_envelope	Biosynthesis_and_degradation_of_surface_polysaccharides_and_lipopolysaccharides
TIGR00056	156	Hypothetical_proteins	Conserved
TIGR00057	168	Protein_synthesis	tRNA_and_rRNA_base_modification
TIGR00059	158	Protein_synthesis	Ribosomal_proteins_synthesis_and_modification
TIGR00060	158	Protein_synthesis	Ribosomal_proteins_synthesis_and_modification
TIGR00061	158	Protein_synthesis	Ribosomal_proteins_synthesis_and_modification
TIGR00062	158	Protein_synthesis	Ribosomal_proteins_synthesis_and_modification
TIGR00063	78	Biosynthesis_of_cofactors_prosthetic_groups_and_carriers	Folic_acid
TIGR00064	97	Protein_fate	Protein_and_peptide_secretion_and_trafficking
TIGR00065	93	Cellular_processes	Cell_division
TIGR00066	86	Biosynthesis_of_cofactors_prosthetic_groups_and_carriers	Glutathione_and_analogs
TIGR00067	89	Cell_envelope	Biosynthesis_and_degradation_of_murein_sacculus_and_peptidoglycan
TIGR00068	100	Central_intermediary_metabolism	Amino_sugars
TIGR00068	184	Energy_metabolism	Other
TIGR00069	161	Amino_acid_biosynthesis	Histidine_family
TIGR00070	161	Amino_acid_biosynthesis	Histidine_family
TIGR00071	168	Protein_synthesis	tRNA_and_rRNA_base_modification
TIGR00073	140	Protein_fate	Protein_modification_and_repair
TIGR00074	95	Protein_fate	Protein_folding_and_stabilization
TIGR00074	140	Protein_fate	Protein_modification_and_repair
TIGR00075	140	Protein_fate	Protein_modification_and_repair
TIGR00077	97	Protein_fate	Protein_and_peptide_secretion_and_trafficking
TIGR00078	163	Biosynthesis_of_cofactors_prosthetic_groups_and_carriers	Pyridine_nucleotides
TIGR00079	140	Protein_fate	Protein_modification_and_repair
TIGR00080	140	Protein_fate	Protein_modification_and_repair
TIGR00081	125	Purines_pyrimidines_nucleosides_and_nucleotides	Purine_ribonucleotide_biosynthesis
TIGR00082	166	Transcription	RNA_processing
TIGR00083	85	Biosynthesis_of_cofactors_prosthetic_groups_and_carriers	Riboflavin_FMN_and_FAD
TIGR00084	132	DNA_metabolism	DNA_replication_recombination_and_repair
TIGR00086	136	Protein_synthesis	Other
TIGR00087	149	Cellular_processes	Adaptations_to_atypical_conditions
TIGR00088	168	Protein_synthesis	tRNA_and_rRNA_base_modification
TIGR00090	169	Protein_synthesis	Translation_factors
TIGR00091	168	Protein_synthesis	tRNA_and_rRNA_base_modification
TIGR00092	157	Unknown_function	General
TIGR00093	168	Protein_synthesis	tRNA_and_rRNA_base_modification
TIGR00094	168	Protein_synthesis	tRNA_and_rRNA_base_modification
TIGR00095	168	Protein_synthesis	tRNA_and_rRNA_base_modification
TIGR00096	168	Protein_synthesis	tRNA_and_rRNA_base_modification
TIGR00097	162	Biosynthesis_of_cofactors_prosthetic_groups_and_carriers	Thiamine
TIGR00099	703	Unknown_function	Enzymes_of_unknown_specificity
TIGR00100	140	Protein_fate	Protein_modification_and_repair
TIGR00101	160	Central_intermediary_metabolism	Nitrogen_metabolism
TIGR00103	157	Unknown_function	General
TIGR00104	703	Unknown_function	Enzymes_of_unknown_specificity
TIGR00105	158	Protein_synthesis	Ribosomal_proteins_synthesis_and_modification
TIGR00106	157	Unknown_function	General
TIGR00107	127	Purines_pyrimidines_nucleosides_and_nucleotides	Salvage_of_nucleosides_and_nucleotides
TIGR00109	79	Biosynthesis_of_cofactors_prosthetic_groups_and_carriers	Heme_porphyrin_and_cobalamin
TIGR00110	74	Amino_acid_biosynthesis	Pyruvate_family
TIGR00111	169	Protein_synthesis	Translation_factors
TIGR00112	73	Amino_acid_biosynthesis	Glutamate_family
TIGR00113	168	Protein_synthesis	tRNA_and_rRNA_base_modification
TIGR00114	85	Biosynthesis_of_cofactors_prosthetic_groups_and_carriers	Riboflavin_FMN_and_FAD
TIGR00115	95	Protein_fate	Protein_folding_and_stabilization
TIGR00116	169	Protein_synthesis	Translation_factors
TIGR00117	120	Energy_metabolism	TCA_cycle
TIGR00118	74	Amino_acid_biosynthesis	Pyruvate_family
TIGR00119	74	Amino_acid_biosynthesis	Pyruvate_family
TIGR00120	73	Amino_acid_biosynthesis	Glutamate_family
TIGR00121	140	Protein_fate	Protein_modification_and_repair
TIGR00122	261	Regulatory_functions	DNA_interactions
TIGR00123	79	Biosynthesis_of_cofactors_prosthetic_groups_and_carriers	Heme_porphyrin_and_cobalamin
TIGR00124	114	Energy_metabolism	Fermentation
TIGR00124	140	Protein_fate	Protein_modification_and_repair
TIGR00126	122	Purines_pyrimidines_nucleosides_and_nucleotides	Other
TIGR00126	184	Energy_metabolism	Other
TIGR00127	120	Energy_metabolism	TCA_cycle
TIGR00128	176	Fatty_acid_and_phospholipid_metabolism	Biosynthesis
TIGR00129	110	Energy_metabolism	Anaerobic
